dataset_id,variable_id,scenario,period,file_path,units,dataset_type,nodata_value,enabled,file_format,resolution
SMV_pH_bottom_RCP45_20202039,pH_bottom,rcp45,2020-2039,rasters/marine/rcp45/2020-2039/pH_bottom_lowest_climatological_month.tif,pH,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_satarag_surface_RCP45_20202039,satarag_surface,rcp45,2020-2039,rasters/marine/rcp45/2020-2039/satarag_surface_lowest_climatological_month.tif,dimensionless,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_netPP_total_RCP45_20202039,netPP_total,rcp45,2020-2039,rasters/marine/rcp45/2020-2039/netPP_total_annual_climatological_mean.tif,mg C/m^2/d,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_T_surface_RCP45_20402059,T_surface,rcp45,2040-2059,rasters/marine/rcp45/2040-2059/T_surface_warmest_climatological_month.tif,degrees C,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_T_bottom_RCP45_20402059,T_bottom,rcp45,2040-2059,rasters/marine/rcp45/2040-2059/T_bottom_warmest_climatological_month.tif,degrees C,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_S_surface_RCP45_20402059,S_surface,rcp45,2040-2059,rasters/marine/rcp45/2040-2059/S_surface_annual_climatological_mean.tif,psu,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_O2_bottom_RCP45_20402059,O2_bottom,rcp45,2040-2059,rasters/marine/rcp45/2040-2059/O2_bottom_lowest_climatological_month.tif,mmol/m^3,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_pH_surface_RCP45_20402059,pH_surface,rcp45,2040-2059,rasters/marine/rcp45/2040-2059/pH_surface_lowest_climatological_month.tif,pH,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_pH_bottom_RCP45_20402059,pH_bottom,rcp45,2040-2059,rasters/marine/rcp45/2040-2059/pH_bottom_lowest_climatological_month.tif,pH,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_satarag_surface_RCP45_20402059,satarag_surface,rcp45,2040-2059,rasters/marine/rcp45/2040-2059/satarag_surface_lowest_climatological_month.tif,dimensionless,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_netPP_total_RCP45_20402059,netPP_total,rcp45,2040-2059,rasters/marine/rcp45/2040-2059/netPP_total_annual_climatological_mean.tif,mg C/m^2/d,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_T_surface_RCP45_20792098,T_surface,rcp45,2079-2098,rasters/marine/rcp45/2079-2098/T_surface_warmest_climatological_month.tif,degrees C,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_T_bottom_RCP45_20792098,T_bottom,rcp45,2079-2098,rasters/marine/rcp45/2079-2098/T_bottom_warmest_climatological_month.tif,degrees C,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_S_surface_RCP45_20792098,S_surface,rcp45,2079-2098,rasters/marine/rcp45/2079-2098/S_surface_annual_climatological_mean.tif,psu,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_O2_bottom_RCP45_20792098,O2_bottom,rcp45,2079-2098,rasters/marine/rcp45/2079-2098/O2_bottom_lowest_climatological_month.tif,mmol/m^3,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_pH_surface_RCP45_20792098,pH_surface,rcp45,2079-2098,rasters/marine/rcp45/2079-2098/pH_surface_lowest_climatological_month.tif,pH,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_pH_bottom_RCP45_20792098,pH_bottom,rcp45,2079-2098,rasters/marine/rcp45/2079-2098/pH_bottom_lowest_climatological_month.tif,pH,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_satarag_surface_RCP45_20792098,satarag_surface,rcp45,2079-2098,rasters/marine/rcp45/2079-2098/satarag_surface_lowest_climatological_month.tif,dimensionless,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_netPP_total_RCP45_20792098,netPP_total,rcp45,2079-2098,rasters/marine/rcp45/2079-2098/netPP_total_annual_climatological_mean.tif,mg C/m^2/d,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_T_surface_RCP85_20202039,T_surface,rcp85,2020-2039,rasters/marine/rcp85/2020-2039/T_surface_warmest_climatological_month.tif,degrees C,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_T_bottom_RCP85_20202039,T_bottom,rcp85,2020-2039,rasters/marine/rcp85/2020-2039/T_bottom_warmest_climatological_month.tif,degrees C,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_S_surface_RCP85_20202039,S_surface,rcp85,2020-2039,rasters/marine/rcp85/2020-2039/S_surface_annual_climatological_mean.tif,psu,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_O2_bottom_RCP85_20202039,O2_bottom,rcp85,2020-2039,rasters/marine/rcp85/2020-2039/O2_bottom_lowest_climatological_month.tif,mmol/m^3,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_pH_surface_RCP85_20202039,pH_surface,rcp85,2020-2039,rasters/marine/rcp85/2020-2039/pH_surface_lowest_climatological_month.tif,pH,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_pH_bottom_RCP85_20202039,pH_bottom,rcp85,2020-2039,rasters/marine/rcp85/2020-2039/pH_bottom_lowest_climatological_month.tif,pH,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_satarag_surface_RCP85_20202039,satarag_surface,rcp85,2020-2039,rasters/marine/rcp85/2020-2039/satarag_surface_lowest_climatological_month.tif,dimensionless,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_netPP_total_RCP85_20202039,netPP_total,rcp85,2020-2039,rasters/marine/rcp85/2020-2039/netPP_total_annual_climatological_mean.tif,mg C/m^2/d,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_T_surface_RCP85_20402059,T_surface,rcp85,2040-2059,rasters/marine/rcp85/2040-2059/T_surface_warmest_climatological_month.tif,degrees C,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_T_bottom_RCP85_20402059,T_bottom,rcp85,2040-2059,rasters/marine/rcp85/2040-2059/T_bottom_warmest_climatological_month.tif,degrees C,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_S_surface_RCP85_20402059,S_surface,rcp85,2040-2059,rasters/marine/rcp85/2040-2059/S_surface_annual_climatological_mean.tif,psu,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_O2_bottom_RCP85_20402059,O2_bottom,rcp85,2040-2059,rasters/marine/rcp85/2040-2059/O2_bottom_lowest_climatological_month.tif,mmol/m^3,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
